Gene_A,Gene_B,posterior_edge
Syngap1,Dgkz,0.5000000000000003
Syngap1,Fbxo2,0.5000000000000003
Syngap1,Dlg1,0.5000000000000004
Syngap1,Anks1b,0.5000000000000003
Syngap1,Dlgap2,0.5000000000000003
Syngap1,Dmxl2,0.5000000000000003
Syngap1,Btbd9,0.5000000000000003
Syngap1,Cacnb2,0.5000000000000003
Syngap1,Adgrb2,0.5000000000000003
Syngap1,Synj1,0.5000000000000003
Syngap1,Iqsec1,0.5000000013291835
Syngap1,Dlg2,0.5000000013291835
Syngap1,Basp1,0.5000000000000003
Syngap1,Dlgap1,0.5055019019781006
Syngap1,Dync1h1,0.5000000013291835
Syngap1,Praf2,0.5000000000000003
Syngap1,Cul3,0.5000000000000003
Syngap1,Kcnj10,0.5000000000000003
Syngap1,Gda,0.5000000000000003
Syngap1,Adam22,0.5318616785201546
Syngap1,Gria3,0.5000000000000003
Shank3,Cttnbp2,0.5000000014667592
Shank3,Shank1,0.5023068001247329
Shank3,Slc4a4,0.5000000014667592
Shank3,Sptan1,0.5000000014913353
Shank3,Camk2b,0.5000000014667596
Shank3,Nckap1,0.5021550181154347
Shank3,Gpm6b,0.5000000014667592
Shank3,Ppp3cb,0.5000000014667592
Shank3,Ywhag,0.5185433795396605
Shank3,Gnb1,0.5000000014667592
Shank3,Ywhaz,0.5925383984029862
Shank3,Ppp3ca,0.5000000014667592
Shank3,Uba1,0.5000000020240525
Shank3,Agap2,0.5392898215055187
Shank3,Shank3,0.6623945215598035
Shank3,Vdac1,0.5000000014667592
Shank3,Hras,0.5583312004354282
Shank3,Snap91,0.5000000014667592
Shank3,Sptbn1,0.5000000014667596
Shank3,Dlgap3,0.5000000014667596
Shank3,Camk2d,0.5000000023307797
Shank3,Tln2,0.5000000020240527
Shank3,Cdc42bpb,0.5000000014667592
Shank3,Shank2,0.5000000014667592
Shank3,Baiap2,0.5000000014667592
Shank3,Me3,0.5000000014667592
Shank3,Tnr,0.5000000014667592
Shank3,Synpo,0.5000000014667592
Shank3,Slc25a1,0.5000000014667592
Shank3,Iqsec1,0.5000000014667596
Shank3,Wasf1,0.5056718626644255
Shank3,Rab14,0.5000000014667592
Shank3,Sfxn3,0.5000000014667592
Shank3,Acly,0.5000000014667592
Shank3,Dlg2,0.5000000014667596
Shank3,Atad3,0.5000000014667592
Shank3,Homer3,0.5000000014667592
Shank3,Sfxn1,0.5000000014667592
Shank3,Rab3b,0.5000000014667592
Shank3,Dync1h1,0.5000000014667596
Shank3,Homer2,0.5000000020240527
Shank3,Macf1,0.5000000014667592
Shank3,Mpp2,0.5000000014667592
Shank3,Gsk3b,0.7400696313580962
Shank3,Plcb1,0.5000000014667592
Shank3,Homer1,0.5149279655645116
Dlgap1,Shank1,0.5000862433117715
Dlgap1,Grin1,0.5005623324755356
Dlgap1,Magi2,0.5001213332216691
Igh-V7183,Igh-V7183,0.5
Dennd3,Dennd3,0.5
Catsperb,Catsperg2,0.5
Cxcl1,Cxcr2,0.5066541084101125
Cxcr2,Cxcl2,0.5460935094092332
Ttll6,Ttll6,0.5
Tektip1,Tekt4,0.9889711334038388
Tektip1,SPMIP6,0.904628668634167
Tektip1,Cfap161,0.9874596073449996
Tektip1,Tekt3,0.9889840652786125
Tektip1,Tekt2,0.988983055638246
Tektip1,Tekt1,0.9873009106107806
Tekt4,Tekt5,0.9997866992933359
Tekt4,Tekt4,0.9999046736901422
Tekt4,SPMIP6,0.9136762862689922
Tekt4,Spag8,0.9882620877261078
Tekt4,Spmip8,0.8342527290502784
Tekt4,Tekt3,0.9999178947254903
Tekt4,Tekt2,0.9999168625092644
Tekt4,Ribc1,0.9961097303585048
Tekt4,Cimip2a,0.9998687284162219
Tekt4,Ribc2,0.9973827710494909
Tekt4,Efhc1,0.9998912651373673
Tekt4,Spmip9,0.9995398535894847
SPMIP6,Ribc2,0.9115893857585096
Cfap161,Cfap107,0.9434399392322044
Cfap161,Mns1,0.9919258934678957
Cfap161,Tekt3,0.9983725296240837
Cfap161,Cfap95,0.9856385256363879
Cfap161,Ribc2,0.9958452426182614
Cfap161,Cfap141,0.9720946706842947
Cfap161,Nme7,0.9976414645222761
Tekt3,Tekt5,0.999799917208602
Tekt3,Saxo4,0.9995458843210392
Tekt3,Tekt3,0.9999311161104967
Tekt3,Tekt2,0.9999300838669717
Tekt3,Efhc2,0.9997126983438934
Tekt3,Cimip2a,0.9998819485009213
Tekt3,Dusp3,0.6899316061056097
Tekt3,Dusp21,0.9819281310856706
Tekt3,Spmip9,0.9995530649763943
Tekt3,Tekt1,0.9982102800926679
Tekt3,Nme7,0.9991977647105476
Tekt2,Tekt5,0.9997988852359725
Tekt2,Saxo4,0.9995448528729297
Tekt2,Tekt2,0.9999290516255779
Tekt2,Ribc1,0.9961218266482301
Tekt2,Cimip2a,0.999880916358916
Tekt2,Dusp21,0.9819271360141959
Tekt2,Efhc1,0.999903453629558
Tekt2,Spmip9,0.9995520335134584
Tekt2,Tekt1,0.998209251402276
Tekt2,Cimip2c,0.9963120933477748
Tekt1,Saxo4,0.9978263743273709
Tekt1,Efhc2,0.9979926141519615
Tekt1,Efhc1,0.9981837414656302
Tekt1,Tekt1,0.9964953674440891
Tekt1,Cimip2c,0.9946047357813533
Spocd1,Spocd1,0.5
Ptprb,Cdh5,0.5
Cdh5,Pard3,0.5
Ep300,Tp53,0.8086383397325182
Ep300,Rela,0.824870256194244
Ep300,Kat2b,0.5866408313659791
Tp53,Mdm4,0.8060620940472689
Tp53,Tp53,0.9512710741633412
Tp53,Mdm2,0.970557167796322
Tp53,Crebbp,0.9729899649537879
Tp53,Uba52,0.9736431209232869
Tp53,Skil,0.6714591804176504
Rela,Socs1,0.9394622314187739
Rela,Tnf,0.9475370743066676
Rela,Il6,0.9121412856910475
Rela,Ccl2,0.6881645589037834
Rela,Bcl2,0.9783436327196879
Rela,Il1b,0.818137292328222
Rela,Cxcl2,0.7462840131314747
Rela,Irf1,0.9425828008815018
Rela,Ccnd1,0.974005621758253
Rela,Nfkb1,0.9963680668604467
Rela,Nos2,0.878716842140093
Rela,Ccl5,0.746284031853701
Rela,Il12b,0.9872319227308342
Rela,Crebbp,0.9978654668276583
Rela,Rela,0.9999857772146317
Rela,Bcl2a1,0.8189086980394195
Rela,Chuk,0.9794811487067793
Rela,Tnfaip3,0.992483139899152
Rela,Nfkbib,0.9788515735952452
Rela,Il23a,0.8262398608542281
Rela,Nfkb2,0.8665424358350795
Rela,Nfkbia,0.975106283629786
