Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
Q8VIG3	Q9D9V4	Rsph1	Rsph9	38191553:0114:LC:binary|PDB_7DMP:0114:LC:binary	10090	True	True
Q8VIM0	Q8VIM0	Havcr2	Havcr2	20083673:0114:LC:binary	10090	True	True
Q8VIM0	Q9Z1R2	Havcr2	Bag6	22863785:0018:LC:binary|25363763:0006:LC:binary	10090	True	False
Q91V08	Q91V08	Clec2d	Clec2d	30397201:0114:LC:binary	10090	True	True
Q91V08	Q99JB4	Clec2d	Klrb1b	30397201:0114:LC:binary	10090	True	True
Q91V12	Q91V12	Acot7	Acot7	17563367:0028:LC:binary|17563367:0071:LC:binary|17563367:0114:LC:binary|PDB_4ZV3:0114:LC:binary|PDB_6VFY:0114:LC:binary	10090	True	True
Q91V14	Q91V14	Slc12a5	Slc12a5	33597714:0114:LC:binary	10090	True	True
Q91V27	Q99104	Mlph	Myo5a	23798443:0114:LC:binary	10090	True	True
Q91V27	Q99P58	Mlph	Rab27b	18940604:0071:LC:binary|18940604:0114:LC:binary	10090	True	True
Q91V27	Q9ERI2	Mlph	Rab27a	11773082:0019:LC:binary|11887186:0018:LC:binary|18940604:0007:LC:binary	10090	True	False
Q91VC4	Q91VC4	Plvap	Plvap	36996108:0114:LC:binary	10090	True	True
Q91VD9	Q91WD5	Ndufs1	Ndufs2	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q91YT0	Ndufs1	Ndufv1	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9CQ75	Ndufs1	Ndufa2	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9CQZ5	Ndufs1	Ndufa6	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9CXZ1	Ndufs1	Ndufs4	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9D6J6	Ndufs1	Ndufv2	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9DC69	Ndufs1	Ndufa9	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9DCT2	Ndufs1	Ndufs3	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VD9	Q9Z1P6	Ndufs1	Ndufa7	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91VI7	Q91VI7	Rnh1	Rnh1	24941155:0114:LC:binary	10090	True	True
Q91VS8	Q91VS8	Farp2	Farp2	23375260:0114:LC:binary	10090	True	True
Q91VU0	Q91VU0	Fam3c	Fam3c	28751379:0114:LC:binary	10090	True	True
Q91VW3	Q91VW3	Sh3bgrl3	Sh3bgrl3	15120624:0114:LC:binary	10090	True	True
