geneSymbol,final_state
Zc3h11a,1.0
Zc3h12a,-1.0
Zc3h12c,-1.0
Zc3h12d,-1.0
Zc3h13,1.0
Zc3h14,1.0
Zc3h3,1.0
Zc3hav1,1.0
Zc3hc1,-1.0
Zcchc11,1.0
Zcchc17,1.0
Zcchc6,1.0
Zcchc7,1.0
Zdhhc18,-1.0
Zdhhc5,1.0
Zfand2b,1.0
Zfc3h1,1.0
Zfhx3,1.0
Zfp106,1.0
Zfp263,1.0
Zfp318,1.0
Zfp326,1.0
Zfp36l1,1.0
Zfp36l2,1.0
Zfp395,1.0
Zfp407,1.0
Zfp62,-1.0
Zfp638,1.0
Zfp652,1.0
Zfp704,-1.0
Zfp764,1.0
Zfp768,1.0
Zfp874b,1.0
Zfyve1,-1.0
Zfyve26,1.0
Zmym2,1.0
Zmynd8,1.0
Znf22,1.0
Znf276,1.0
Znf414,-1.0
Znf592,1.0
Znf609,1.0
Znf629,1.0
Znf639,1.0
Znf830,1.0
Zranb2,-1.0
Zswim8,-1.0
Zw10,1.0
Zzef1,1.0
