Cbfa2t3	Tal1
Crym	Crym
Trappc3	Trappc1
Trappc3	Trappc2
Impa1	Impa1
Copb2	Copa
Copb2	Copb1
Copb2	Copg1
Nck2	Dok2
Nck2	Efnb1
Snca	Abl1
Tpmt	Tpmt
Nipsnap2	Ubc
Sap18	Sap18
Rpl35a	Rpl13a
Rpl35a	Rpl6
Rpl35a	Rpl18a
Rpl35a	Rpl32
Ldb2	Ssbp3
Ilk	Lims1
Ilk	Parva
Ilk	Parvb
Psmb5	Psmb3
Psmb5	Psmb2
Psmb5	Psma7
Psmb5	Psma5
Rngtt	Rngtt
Nnmt	Nnmt
Pip5k1c	Tln1
Chrna4	Lypd1
Chrna4	Chrnb2
Lnx1	Igsf5
Lnx1	Numb
Ptp4a2	Cnnm3
Ppargc1a	Cebpb
Ppargc1a	Nr5a1
Ppargc1a	Creb1
Ppargc1a	Sirt1
Per3	Per3
Ctss	Ctss
Cbfa2t2	Tal1
Il27ra	Il27
Ulk1	Ulk1
Ulk1	Atg13
Ulk1	Fundc1
Ulk1	Rb1cc1
Ulk1	Mtor
Psma3	Psmb9
Psma3	Psma2
Psma3	Psmb4
Psma3	Psmb6
Psma3	Psma6
Psma3	Psma4
Psma3	Psma1
Stx7	Vti1b
Mybpc3	Myh6
Mybpc3	Myh7
Dok2	Egfr
Dok2	Tek
Dok2	Nck1
Pknox1	Pbx1
Pigr	Pigr
Pigr	Jchain
Stag3	Smc1b
Dtnb	Kif5a
Cask	Cask
Cask	Lin7b
Cask	Lin7c
Cask	Whrn
Cask	Dlg1
Myoc	Myoc
Ly86	Ly86
Ly86	Cd180
Grem2	Grem2
Bcl6b	Bcl6
Slc4a4	Shank3
Ikbkb	Ikbkg
Ikbkb	Tnfrsf1a
Ikbkb	Akt1
Ikbkb	Chuk
Ikbkb	Nfkbib
Ikbkb	Map3k7
Ikbkb	Nfkbia
Vti1b	Vamp7
Klc1	Klc1
Klc1	Clstn1
Klc1	Mapk8ip3
Klc2	Klc2
Klc2	Clstn1
Klc2	Mapk8ip3
Kcnk4	Kcnk4
Dync1i1	Kif5b
Nsd1	Nsd1
Dnmt3a	Dnmt3a
Dnmt3a	Dnmt3l
Dnmt3a	Dnmt3l
Dnmt3b	Dnmt3l
Gmnn	Gmnn
Gmnn	Scmh1
Gmnn	Cdt1
Ikbkg	Ikbkg
Ikbkg	Ubc
Ikbkg	Tnfrsf1a
Ikbkg	Uba52
Ikbkg	Traf6
Ikbkg	Chuk
Ikbkg	Tnfaip3
Ikbkg	Nfkbib
Ikbkg	Rnf31
Ikbkg	Nfkbia
Cldn1	Tjp1
Parp2	Parp2
Axin2	Ctnnb1
Lrp6	Mesd
Sap30	Sin3a
Becn1	Becn1
Becn1	Bcl2
Becn1	Pik3c3
Becn1	Atg14
Becn1	Uvrag
Becn1	Pik3r4
Cacng2	Cacng2
Cacng2	Dlg4
Foxh1	Nkx2-5
Parg	Parg
F2rl3	F2
Pak1	Mbp
Pak1	Cdc42
Pak1	Rac1
Lamtor3	Lamtor2
Psmc3	Ubc
Hcn2	Hcn2
Hcn2	Pex5l
Hcn1	Hcn1
Ctbp1	Zeb1
Klrg1	Klrg1
Birc6	Birc6
Gdap1	Gdap1
Tom1	Ubc
Il13ra2	Il13
Stam2	Ubc
Stam2	Usp8
Stam2	Hgs
Idh1	Idh1
Sh2d1a	Fyn
Sh2d1a	Slamf1
Hdac3	Nfkb1
Hdac3	Prox1
Tp63	Tp63
Hipk1	Hipk1
Nfatc1	Irf8
Lin7b	Lin7b
C1ql1	C1ql1
Olfm1	Olfm1
Lgmn	Lgmn
Invs	Nek8
Coro1a	Coro1a
Cope	Copa
Sp1	E2f1
Grap2	Grap2
Grap2	Map4k1
Grap2	Lcp2
Grap2	Ptpn23
Casp8	Fas
Casp8	Fadd
Mt-Cyb	Mt-Cyb
