Running on gpu-n37.crc.pitt.edu
workdir /ix/djishnu/Aaron_F/PGM_project/Bionic
Using CUDA
Preprocessing input networks...
Preprocessing finished: 3561 total nodes.
Epoch: 154 | Loss Total: 0.002499 | Loss 1: 0.001657 | Loss 2: 0.000842 | Time (s): 0.0994
Epoch: 155 | Loss Total: 0.002488 | Loss 1: 0.001637 | Loss 2: 0.000851 | Time (s): 0.0989
Epoch: 156 | Loss Total: 0.002485 | Loss 1: 0.001669 | Loss 2: 0.000816 | Time (s): 0.0991
Epoch: 157 | Loss Total: 0.002519 | Loss 1: 0.001672 | Loss 2: 0.000846 | Time (s): 0.0989
Epoch: 158 | Loss Total: 0.002446 | Loss 1: 0.001645 | Loss 2: 0.000801 | Time (s): 0.0987
Epoch: 159 | Loss Total: 0.002466 | Loss 1: 0.001667 | Loss 2: 0.000800 | Time (s): 0.0997
Epoch: 160 | Loss Total: 0.002408 | Loss 1: 0.001603 | Loss 2: 0.000805 | Time (s): 0.0987
Epoch: 161 | Loss Total: 0.002448 | Loss 1: 0.001665 | Loss 2: 0.000783 | Time (s): 0.0994
Epoch: 162 | Loss Total: 0.002442 | Loss 1: 0.001630 | Loss 2: 0.000812 | Time (s): 0.0997
Epoch: 163 | Loss Total: 0.002457 | Loss 1: 0.001665 | Loss 2: 0.000792 | Time (s): 0.0985
Epoch: 164 | Loss Total: 0.002470 | Loss 1: 0.001684 | Loss 2: 0.000787 | Time (s): 0.0987
Epoch: 165 | Loss Total: 0.002456 | Loss 1: 0.001620 | Loss 2: 0.000836 | Time (s): 0.0985
Epoch: 166 | Loss Total: 0.002446 | Loss 1: 0.001688 | Loss 2: 0.000758 | Time (s): 0.0989
Epoch: 167 | Loss Total: 0.002409 | Loss 1: 0.001641 | Loss 2: 0.000768 | Time (s): 0.0992
Epoch: 168 | Loss Total: 0.002493 | Loss 1: 0.001682 | Loss 2: 0.000811 | Time (s): 0.0987
Epoch: 169 | Loss Total: 0.002447 | Loss 1: 0.001688 | Loss 2: 0.000759 | Time (s): 0.0996
Epoch: 170 | Loss Total: 0.002446 | Loss 1: 0.001667 | Loss 2: 0.000780 | Time (s): 0.0990
Epoch: 171 | Loss Total: 0.002458 | Loss 1: 0.001671 | Loss 2: 0.000787 | Time (s): 0.0991
Epoch: 172 | Loss Total: 0.002422 | Loss 1: 0.001643 | Loss 2: 0.000779 | Time (s): 0.0995
Epoch: 173 | Loss Total: 0.002455 | Loss 1: 0.001691 | Loss 2: 0.000764 | Time (s): 0.0988
Epoch: 174 | Loss Total: 0.002398 | Loss 1: 0.001611 | Loss 2: 0.000787 | Time (s): 0.0992
Epoch: 175 | Loss Total: 0.002422 | Loss 1: 0.001653 | Loss 2: 0.000770 | Time (s): 0.0993
Epoch: 176 | Loss Total: 0.002417 | Loss 1: 0.001684 | Loss 2: 0.000733 | Time (s): 0.0991
Epoch: 177 | Loss Total: 0.002476 | Loss 1: 0.001663 | Loss 2: 0.000813 | Time (s): 0.0987
Epoch: 178 | Loss Total: 0.002401 | Loss 1: 0.001658 | Loss 2: 0.000743 | Time (s): 0.0994
Epoch: 179 | Loss Total: 0.002416 | Loss 1: 0.001652 | Loss 2: 0.000764 | Time (s): 0.0993
Epoch: 180 | Loss Total: 0.002401 | Loss 1: 0.001671 | Loss 2: 0.000731 | Time (s): 0.0988
Epoch: 181 | Loss Total: 0.002392 | Loss 1: 0.001628 | Loss 2: 0.000764 | Time (s): 0.0987
Epoch: 182 | Loss Total: 0.002368 | Loss 1: 0.001652 | Loss 2: 0.000716 | Time (s): 0.0993
Epoch: 183 | Loss Total: 0.002357 | Loss 1: 0.001630 | Loss 2: 0.000727 | Time (s): 0.0988
Epoch: 184 | Loss Total: 0.002357 | Loss 1: 0.001666 | Loss 2: 0.000691 | Time (s): 0.0991
Epoch: 185 | Loss Total: 0.002431 | Loss 1: 0.001661 | Loss 2: 0.000770 | Time (s): 0.0988
Epoch: 186 | Loss Total: 0.002383 | Loss 1: 0.001659 | Loss 2: 0.000724 | Time (s): 0.0992
Epoch: 187 | Loss Total: 0.002368 | Loss 1: 0.001626 | Loss 2: 0.000743 | Time (s): 0.0995
Epoch: 188 | Loss Total: 0.002413 | Loss 1: 0.001683 | Loss 2: 0.000730 | Time (s): 0.0989
Epoch: 189 | Loss Total: 0.002420 | Loss 1: 0.001660 | Loss 2: 0.000760 | Time (s): 0.0988
Epoch: 190 | Loss Total: 0.002409 | Loss 1: 0.001685 | Loss 2: 0.000724 | Time (s): 0.0991
Epoch: 191 | Loss Total: 0.002412 | Loss 1: 0.001654 | Loss 2: 0.000758 | Time (s): 0.0993
Epoch: 192 | Loss Total: 0.002396 | Loss 1: 0.001621 | Loss 2: 0.000775 | Time (s): 0.0990
Epoch: 193 | Loss Total: 0.002411 | Loss 1: 0.001677 | Loss 2: 0.000734 | Time (s): 0.0988
Epoch: 194 | Loss Total: 0.002382 | Loss 1: 0.001653 | Loss 2: 0.000729 | Time (s): 0.0997
Epoch: 195 | Loss Total: 0.002351 | Loss 1: 0.001642 | Loss 2: 0.000709 | Time (s): 0.0990
Epoch: 196 | Loss Total: 0.002380 | Loss 1: 0.001657 | Loss 2: 0.000723 | Time (s): 0.0988
Epoch: 197 | Loss Total: 0.002369 | Loss 1: 0.001638 | Loss 2: 0.000731 | Time (s): 0.0987
Epoch: 198 | Loss Total: 0.002398 | Loss 1: 0.001687 | Loss 2: 0.000712 | Time (s): 0.0989
Epoch: 199 | Loss Total: 0.002337 | Loss 1: 0.001653 | Loss 2: 0.000684 | Time (s): 0.0986
Epoch: 200 | Loss Total: 0.002408 | Loss 1: 0.001689 | Loss 2: 0.000719 | Time (s): 0.0992
Epoch: 201 | Loss Total: 0.002378 | Loss 1: 0.001649 | Loss 2: 0.000729 | Time (s): 0.0987
Epoch: 202 | Loss Total: 0.002314 | Loss 1: 0.001647 | Loss 2: 0.000667 | Time (s): 0.0991
Epoch: 203 | Loss Total: 0.002333 | Loss 1: 0.001621 | Loss 2: 0.000712 | Time (s): 0.1003
Epoch: 204 | Loss Total: 0.002350 | Loss 1: 0.001650 | Loss 2: 0.000701 | Time (s): 0.0985
Epoch: 205 | Loss Total: 0.002313 | Loss 1: 0.001626 | Loss 2: 0.000687 | Time (s): 0.0986
Epoch: 206 | Loss Total: 0.002306 | Loss 1: 0.001627 | Loss 2: 0.000679 | Time (s): 0.0985
Epoch: 207 | Loss Total: 0.002301 | Loss 1: 0.001634 | Loss 2: 0.000667 | Time (s): 0.0986
Epoch: 208 | Loss Total: 0.002274 | Loss 1: 0.001603 | Loss 2: 0.000671 | Time (s): 0.0987
Epoch: 209 | Loss Total: 0.002293 | Loss 1: 0.001626 | Loss 2: 0.000668 | Time (s): 0.0996
Epoch: 210 | Loss Total: 0.002363 | Loss 1: 0.001642 | Loss 2: 0.000721 | Time (s): 0.0985
Epoch: 211 | Loss Total: 0.002344 | Loss 1: 0.001631 | Loss 2: 0.000713 | Time (s): 0.0986
Epoch: 212 | Loss Total: 0.002338 | Loss 1: 0.001664 | Loss 2: 0.000674 | Time (s): 0.0989
Epoch: 213 | Loss Total: 0.002301 | Loss 1: 0.001646 | Loss 2: 0.000655 | Time (s): 0.0993
Epoch: 214 | Loss Total: 0.002337 | Loss 1: 0.001626 | Loss 2: 0.000712 | Time (s): 0.0988
Epoch: 215 | Loss Total: 0.002404 | Loss 1: 0.001692 | Loss 2: 0.000712 | Time (s): 0.0990
Epoch: 216 | Loss Total: 0.002337 | Loss 1: 0.001636 | Loss 2: 0.000701 | Time (s): 0.0985
Epoch: 217 | Loss Total: 0.002338 | Loss 1: 0.001644 | Loss 2: 0.000693 | Time (s): 0.0987
Epoch: 218 | Loss Total: 0.002333 | Loss 1: 0.001671 | Loss 2: 0.000661 | Time (s): 0.0994
Epoch: 219 | Loss Total: 0.002314 | Loss 1: 0.001607 | Loss 2: 0.000707 | Time (s): 0.0993
Epoch: 220 | Loss Total: 0.002321 | Loss 1: 0.001651 | Loss 2: 0.000670 | Time (s): 0.0998
Epoch: 221 | Loss Total: 0.002304 | Loss 1: 0.001642 | Loss 2: 0.000662 | Time (s): 0.0989
Epoch: 222 | Loss Total: 0.002350 | Loss 1: 0.001646 | Loss 2: 0.000704 | Time (s): 0.0991
Epoch: 223 | Loss Total: 0.002331 | Loss 1: 0.001674 | Loss 2: 0.000658 | Time (s): 0.0990
Epoch: 224 | Loss Total: 0.002370 | Loss 1: 0.001671 | Loss 2: 0.000699 | Time (s): 0.0993
Epoch: 225 | Loss Total: 0.002321 | Loss 1: 0.001649 | Loss 2: 0.000672 | Time (s): 0.0991
Epoch: 226 | Loss Total: 0.002277 | Loss 1: 0.001623 | Loss 2: 0.000654 | Time (s): 0.0993
Epoch: 227 | Loss Total: 0.002268 | Loss 1: 0.001609 | Loss 2: 0.000659 | Time (s): 0.0994
Epoch: 228 | Loss Total: 0.002336 | Loss 1: 0.001700 | Loss 2: 0.000636 | Time (s): 0.0991
Epoch: 229 | Loss Total: 0.002323 | Loss 1: 0.001649 | Loss 2: 0.000674 | Time (s): 0.0991
Epoch: 230 | Loss Total: 0.002312 | Loss 1: 0.001682 | Loss 2: 0.000629 | Time (s): 0.0991
Epoch: 231 | Loss Total: 0.002304 | Loss 1: 0.001673 | Loss 2: 0.000630 | Time (s): 0.0993
